family	number of analyses	relative abundance (max)	score (Spearman rank correlation on order level [only actual rank])
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.Anaerolineales;family.Anaerolineaceae	8421	0.3484065606795059	0.4550538692775806
super kingdom.Bacteria;phylum.Proteobacteria;class.Oligoflexia;order.Bdellovibrionales;family.Bdellovibrionaceae	8353	0.08067927441142415	0.4248448409008344
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Sandaracinaceae	8314	0.2228186968838527	0.4152194414926555
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Bacteroidaceae	8305	0.74962664367844	0.4525568825610497
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfovibrionales;family.Desulfovibrionaceae	8159	0.5948353828916996	0.4764346657166417
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Caulobacterales;family.Caulobacteraceae	8139	0.5386765488201827	0.4449992133196198
super kingdom.Bacteria;phylum.Fusobacteria;class.Fusobacteriia;order.Fusobacteriales;family.Fusobacteriaceae	8066	0.893336467533049	0.4736633855063217
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Xanthomonadaceae	8034	0.9689378936287891	0.4460773679086878
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Thiotrichales;family.Thiotrichaceae	7975	0.7258596881209795	0.38857605434119746
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Myxococcales;family.Kofleriaceae	7869	0.16311729067689493	0.41692116754112196
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Cellvibrionales;family.Spongiibacteraceae	7793	0.15512346755903764	0.37737800146336475
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Lactobacillales;family.Lactobacillaceae	7689	0.9990189908562543	0.44927315279139907
super kingdom.Bacteria;phylum.Gemmatimonadetes;class.Gemmatimonadetes;order.Gemmatimonadales;family.Gemmatimonadaceae	7681	0.23155810608052715	0.4253740899958431
super kingdom.Bacteria;phylum.Bacteroidetes;class.Flavobacteriia;order.Flavobacteriales;family.Cryomorphaceae	7590	0.22485089085590548	0.3636175772313699
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Tannerellaceae	7448	0.22493153396905005	0.41272276611621045
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Alteromonadales;family.Alteromonadaceae	7413	0.6534592211269882	0.3677981027930636
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfobacterales;family.Desulfobulbaceae	7348	0.4497556386064867	0.4271192066861629
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Rhizobiaceae	7342	0.3332682842212537	0.45754166428564536
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Chromatiales;family.Woeseiaceae	7296	0.18387470997679814	0.3843414618102536
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Chromatiales;family.Ectothiorhodospiraceae	7274	0.612534198638417	0.36930589131142416
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Legionellales;family.Legionellaceae	7229	0.18006021983161832	0.4238720699153254
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Arenicellales;family.Arenicellaceae	7142	0.4809058097566655	0.3741213374322105
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Corynebacteriales;family.Corynebacteriaceae	6974	0.858995351418858	0.47117343708388837
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Lentimicrobiaceae	6937	0.16668852459016392	0.46794808766019286
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhodospirillales;family.Acetobacteraceae	6905	0.9909326656532237	0.4269236581172682
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Erythrobacteraceae	6841	0.12726000317446576	0.4258007855697102
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Cellvibrionales;family.Cellvibrionaceae	6728	0.3111089777436439	0.3964771408786466
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Burkholderiales;family.Oxalobacteraceae	6683	0.927337256929256	0.4483343844332244
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Phyllobacteriaceae	6638	0.2797444065297326	0.43539235425999984
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Vibrionales;family.Vibrionaceae	6501	0.9326631294796611	0.38283262253054057
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Corynebacteriales;family.Mycobacteriaceae	6467	0.769122822900988	0.44552738436364153
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Cellvibrionales;family.Porticoccaceae	6466	0.8514581458145815	0.35635665691099294
super kingdom.Bacteria;phylum.Verrucomicrobia;class.Opitutae;order.Puniceicoccales;family.Puniceicoccaceae	6390	0.10691213960945097	0.42085917841810394
super kingdom.Bacteria;phylum.Bacteroidetes;class.Sphingobacteriia;order.Sphingobacteriales;family.Sphingobacteriaceae	6323	0.5292678195735537	0.4327634682660863
